CPU,,,
Pre-process [s],Inference[s],NM[s],TOT[s]
0.0166786286830902,2.07150188708305,0.00363184571266174,2.09181236147881
0.00546965575218201,0.739986845731735,0.00279656934738159,0.748253070831299
0.0212755653858185,1.27010832047462,0.00386492466926575,1.29524881052971
0.00642929577827454,0.318546598911285,0.00297468090057373,0.327950575590134
0.0172283780574799,0.998344627141952,0.00693736791610718,1.02251037311554
0.00536979055404663,0.428358579158783,0.00276508092880249,0.436493450641632
0.0235187866687775,0.501750403881073,0.00383050918579102,0.529099699735642
0.00657145118713379,0.123960406303406,0.00299080085754395,0.133522658348083
0.00903697514533997,2.58700134038925,0.00376988673210144,2.59980820226669
0.00344877600669861,0.978725817203522,0.00967334628105164,0.991847939491272
0.00849846053123474,2.20268594694138,0.00383426237106323,2.21501866984367
0.00224690389633179,0.543429486513138,0.00270385694503784,0.548380247354507
0.0089903244972229,1.20070205354691,0.00375266098976135,1.21344503903389
0.00269532036781311,0.498755848407745,0.0103520514965057,0.511803220272064
0.00861392378807068,0.959084314346313,0.00363991141319275,0.971338149547577
0.00223639106750488,0.229235106229782,0.00268922209739685,0.234160719394684
0.00899064135551453,2.91608469295502,0.00375714945793152,2.92883248376846
0.00331746077537537,1.1436450855732,0.00870463538169861,1.15566718173027
0.00869730353355408,2.42275431990623,0.00394435119628906,2.43539597463608
0.00235895013809204,0.602614328622818,0.00275591897964478,0.607729197740555
0.0095064115524292,1.23546147632599,0.0037877836227417,1.24875567150116
0.0027074146270752,0.508354987382889,0.00910431361198425,0.520166715621948
0.0105928552150726,1.01412600016594,0.00372428011894226,1.02844313549995
0.00228249597549438,0.244681284189224,0.00272443652153015,0.249688216686249
