map50,map50-95
0.571570196751798,0.373838845494814
0.476446575252344,0.304775800531987
0.552128076749992,0.337811136268994
0.461665088528844,0.281249512392134
0.46217564449359,0.280601179429188
0.369791510032156,0.221400036950096
0.440410321787075,0.253214977264324
0.356751132999218,0.205226474635684
0.735697196607177,0.559238371230396
0.62407643375006,0.468135920466918
0.710502405293834,0.533813163095982
0.618330722639458,0.470145060228904
0.580785925908894,0.421368250473817
0.470560020322133,0.339560500579658
0.577717998937401,0.417186899183128
0.476470709148705,0.338814591124741
0.759425030874107,0.588212305925844
0.622910988124003,0.483029806383332
0.764269963873624,0.583465857802336
0.627206986589827,0.487988347816375
0.604872607685767,0.445823500820132
0.512515426425583,0.380304847506666
0.587253458178224,0.431270289850459
0.498248649042977,0.373771774884074
